id,subject,topic,difficulty,question,options,answer
19,Math,Algebra,Easy,Sample question 19 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",C
20,Math,Algebra,Easy,Sample question 20 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",D
21,Math,Geometry,Easy,Sample question 21 - This is a easy Geometry question for Math,"['A', 'B', 'C', 'D']",D
22,Math,Geometry,Easy,Sample question 22 - This is a easy Geometry question for Math,"['A', 'B', 'C', 'D']",A
23,Math,Geometry,Easy,Sample question 23 - This is a easy Geometry question for Math,"['A', 'B', 'C', 'D']",C
24,Math,Geometry,Easy,Sample question 24 - This is a easy Geometry question for Math,"['A', 'B', 'C', 'D']",B
25,Math,Geometry,Easy,Sample question 25 - This is a easy Geometry question for Math,"['A', 'B', 'C', 'D']",B
26,Math,Geometry,Easy,Sample question 26 - This is a easy Geometry question for Math,"['A', 'B', 'C', 'D']",C
27,Math,Geometry,Easy,Sample question 27 - This is a easy Geometry question for Math,"['A', 'B', 'C', 'D']",B
28,Math,Geometry,Easy,Sample question 28 - This is a easy Geometry question for Math,"['A', 'B', 'C', 'D']",D
29,Math,Geometry,Easy,Sample question 29 - This is a easy Geometry question for Math,"['A', 'B', 'C', 'D']",B
30,Math,Geometry,Easy,Sample question 30 - This is a easy Geometry question for Math,"['A', 'B', 'C', 'D']",A
31,Math,Geometry,Medium,Sample question 31 - This is a medium Geometry question for Math,"['A', 'B', 'C', 'D']",A
32,Math,Geometry,Medium,Sample question 32 - This is a medium Geometry question for Math,"['A', 'B', 'C', 'D']",A
33,Math,Geometry,Medium,Sample question 33 - This is a medium Geometry question for Math,"['A', 'B', 'C', 'D']",A
34,Math,Geometry,Medium,Sample question 34 - This is a medium Geometry question for Math,"['A', 'B', 'C', 'D']",C
35,Math,Geometry,Medium,Sample question 35 - This is a medium Geometry question for Math,"['A', 'B', 'C', 'D']",C
36,Math,Geometry,Medium,Sample question 36 - This is a medium Geometry question for Math,"['A', 'B', 'C', 'D']",A
37,Math,Geometry,Medium,Sample question 37 - This is a medium Geometry question for Math,"['A', 'B', 'C', 'D']",D
38,Math,Geometry,Medium,Sample question 38 - This is a medium Geometry question for Math,"['A', 'B', 'C', 'D']",C
39,Math,Geometry,Medium,Sample question 39 - This is a medium Geometry question for Math,"['A', 'B', 'C', 'D']",D
40,Math,Geometry,Medium,Sample question 40 - This is a medium Geometry question for Math,"['A', 'B', 'C', 'D']",D
41,Science,Physics,Medium,Sample question 41 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",D
42,Science,Physics,Medium,Sample question 42 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",A
43,Science,Physics,Medium,Sample question 43 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",A
44,Science,Physics,Medium,Sample question 44 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",D
45,Science,Physics,Medium,Sample question 45 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",D
46,Science,Physics,Medium,Sample question 46 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",B
47,Science,Physics,Medium,Sample question 47 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",B
48,Science,Physics,Medium,Sample question 48 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",B
49,Science,Physics,Medium,Sample question 49 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",A
50,Science,Physics,Medium,Sample question 50 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",D
51,Science,Physics,Medium,Sample question 51 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",B
52,Science,Physics,Medium,Sample question 52 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",C
53,Science,Physics,Medium,Sample question 53 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",C
54,Science,Physics,Medium,Sample question 54 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",B
55,Science,Physics,Medium,Sample question 55 - This is a medium Physics question for Science,"['A', 'B', 'C', 'D']",C
56,Science,Chemistry,Medium,Sample question 56 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",D
57,Science,Chemistry,Medium,Sample question 57 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",A
58,Science,Chemistry,Medium,Sample question 58 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",C
59,Science,Chemistry,Medium,Sample question 59 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",B
60,Science,Chemistry,Medium,Sample question 60 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",B
61,Science,Chemistry,Medium,Sample question 61 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",A
62,Science,Chemistry,Medium,Sample question 62 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",A
63,Science,Chemistry,Medium,Sample question 63 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",B
64,Science,Chemistry,Medium,Sample question 64 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",C
65,Science,Chemistry,Medium,Sample question 65 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",A
66,Science,Chemistry,Medium,Sample question 66 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",A
67,Science,Chemistry,Medium,Sample question 67 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",B
68,Science,Chemistry,Medium,Sample question 68 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",C
69,Science,Chemistry,Medium,Sample question 69 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",A
70,Science,Chemistry,Medium,Sample question 70 - This is a medium Chemistry question for Science,"['A', 'B', 'C', 'D']",D
71,History,World,Hard,Sample question 71 - This is a hard World question for History,"['A', 'B', 'C', 'D']",C
72,History,World,Hard,Sample question 72 - This is a hard World question for History,"['A', 'B', 'C', 'D']",C
73,History,World,Hard,Sample question 73 - This is a hard World question for History,"['A', 'B', 'C', 'D']",D
74,History,World,Hard,Sample question 74 - This is a hard World question for History,"['A', 'B', 'C', 'D']",D
75,History,World,Hard,Sample question 75 - This is a hard World question for History,"['A', 'B', 'C', 'D']",D
76,History,World,Hard,Sample question 76 - This is a hard World question for History,"['A', 'B', 'C', 'D']",B
77,History,World,Hard,Sample question 77 - This is a hard World question for History,"['A', 'B', 'C', 'D']",B
78,History,World,Hard,Sample question 78 - This is a hard World question for History,"['A', 'B', 'C', 'D']",D
79,History,World,Hard,Sample question 79 - This is a hard World question for History,"['A', 'B', 'C', 'D']",C
80,History,World,Hard,Sample question 80 - This is a hard World question for History,"['A', 'B', 'C', 'D']",B
81,History,World,Hard,Sample question 81 - This is a hard World question for History,"['A', 'B', 'C', 'D']",A
82,History,World,Hard,Sample question 82 - This is a hard World question for History,"['A', 'B', 'C', 'D']",C
83,History,World,Hard,Sample question 83 - This is a hard World question for History,"['A', 'B', 'C', 'D']",B
84,History,World,Hard,Sample question 84 - This is a hard World question for History,"['A', 'B', 'C', 'D']",A
85,History,World,Hard,Sample question 85 - This is a hard World question for History,"['A', 'B', 'C', 'D']",B
86,History,US,Hard,Sample question 86 - This is a hard US question for History,"['A', 'B', 'C', 'D']",A
87,History,US,Hard,Sample question 87 - This is a hard US question for History,"['A', 'B', 'C', 'D']",C
88,History,US,Hard,Sample question 88 - This is a hard US question for History,"['A', 'B', 'C', 'D']",C
89,History,US,Hard,Sample question 89 - This is a hard US question for History,"['A', 'B', 'C', 'D']",B
90,History,US,Hard,Sample question 90 - This is a hard US question for History,"['A', 'B', 'C', 'D']",C
91,History,US,Hard,Sample question 91 - This is a hard US question for History,"['A', 'B', 'C', 'D']",B
92,History,US,Hard,Sample question 92 - This is a hard US question for History,"['A', 'B', 'C', 'D']",B
93,History,US,Hard,Sample question 93 - This is a hard US question for History,"['A', 'B', 'C', 'D']",B
94,History,US,Hard,Sample question 94 - This is a hard US question for History,"['A', 'B', 'C', 'D']",B
95,History,US,Hard,Sample question 95 - This is a hard US question for History,"['A', 'B', 'C', 'D']",A
96,History,US,Hard,Sample question 96 - This is a hard US question for History,"['A', 'B', 'C', 'D']",D
97,History,US,Hard,Sample question 97 - This is a hard US question for History,"['A', 'B', 'C', 'D']",B
98,History,US,Hard,Sample question 98 - This is a hard US question for History,"['A', 'B', 'C', 'D']",A
99,History,US,Hard,Sample question 99 - This is a hard US question for History,"['A', 'B', 'C', 'D']",A
100,History,US,Hard,Sample question 100 - This is a hard US question for History,"['A', 'B', 'C', 'D']",B
